SALON,GRUPO,LUGAR,FECHA,ALIMENTO,PRECIO,UNIDADES,OBSERVACIONES
3,8,Surtifruver Lasabana,feb.-7,Cebolla,1380,500 gr,Cabezona
3,8,Surtifruver Lasabana,feb.-7,Coliflor,5570,500 gr,NA
3,8,Surtifruver Lasabana,feb.-7,Papa,2300,500 gr,Sabanera
3,8,Surtifruver Lasabana,feb.-7,Tomate,2150,500 gr,Larga vida
3,8,Surtifruver Lasabana,feb.-7,Zanahoria,1490,500 gr,NA
3,8,Surtifruver Lasabana,feb.-7,Fresa,6150,500 gr,NA
3,8,Surtifruver Lasabana,feb.-7,Granadilla,3990,500 gr,NA
3,8,Surtifruver Lasabana,feb.-7,Lulo,1945,500 gr,NA
3,8,Surtifruver Lasabana,feb.-7,Manzana,6300,500 gr,Verde
3,8,Surtifruver Lasabana,feb.-7,Maracuya,3450,500 gr,NA
3,8,Carulla,feb.-12,Cebolla,1240,500 gr,Cabezona
3,8,Carulla,feb.-12,Coliflor,6057,600 gr,NA
3,8,Carulla,feb.-12,Papa,1725,500 gr,NA
3,8,Carulla,feb.-12,Tomate,2100,500 gr,NA
3,8,Carulla,feb.-12,Zanahoria,1400,500 gr,NA
3,8,Carulla,feb.-12,Fresa,6147,500 gr,NA
3,8,Carulla,feb.-12,Granadilla,1633,Unidad,NA
3,8,Carulla,feb.-12,Lulo,NA,NA,NA
3,8,Carulla,feb.-12,Manzana,5475,500 gr,Roja
3,8,Carulla,feb.-12,Maracuya,NA,NA,NA
3,8,Surtifruver Lasabana,feb. -22,Cebolla,1040,500 gr,Cabezona
3,8,Surtifruver Lasabana,feb. -22,Coliflor,5600,Unidad,NA
3,8,Surtifruver Lasabana,feb. -22,Papa,5300,3 lb,Sabanera
3,8,Surtifruver Lasabana,feb. -22,Tomate,2000,500 gr,Larga vida
3,8,Surtifruver Lasabana,feb. -22,Zanahoria,2312,500 gr,NA
3,8,Surtifruver Lasabana,feb. -22,Fresa,2450,500 gr,NA
3,8,Surtifruver Lasabana,feb. -22,Granadilla,4636,500 gr,NA
3,8,Surtifruver Lasabana,feb. -22,Lulo,2400,500 gr,NA
3,8,Surtifruver Lasabana,feb. -22,Manzana,2400,Unidad,Verde
3,8,Surtifruver Lasabana,feb. -22,Maracuya,3600,500 gr,NA
3,8,Carulla,feb. -24,Cebolla,1135,500 gr,Cabezona
3,8,Carulla,feb. -24,Coliflor,7690,200 gr,NA
3,8,Carulla,feb. -24,Papa,NA,NA,NA
3,8,Carulla,feb. -24,Tomate,1800,500 gr,NA
3,8,Carulla,feb. -24,Zanahoria,1400,500 gr,NA
3,8,Carulla,feb. -24,Fresa,4690,500 gr,NA
3,8,Carulla,feb. -24,Granadilla,6000,500 gr,NA
3,8,Carulla,feb. -24,Lulo,NA,NA,NA
3,8,Carulla,feb. -24,Manzana,4975,500 gr,NA
3,8,Carulla,feb. -24,Maracuya,NA,NA,NA
